# Pinyin syllable -> characters, for the Chinese layouts.
# Generated by scripts/keyboard/generate_pinyin.py from Unicode/ICU Han-Latin
# readings. Format: syllable<TAB>characters, most likely candidate first.
a	啊阿錒吖锕
fu	父付伏伕佛俘俯傅副匐咐夫婦孚孵富幅府弗彿復怫扶拂撫敷斧服氟浮涪甫福符紱紼縛腐腑腹膚芙芣菔蝠袱複覆訃負賦賻赴趺輔輻釜鈇阜附頫馥駙麩俛偩冹刜咈嘸垘垺复姇嬔尃岪峊巿弣怤拊枎柎柫桴棴榑泭洑滏澓烰玸琈痡砆砩祓祔稃笰箙簠糐紨綍綒緮罘罦翇胕艀艴苻茀茯荂荴莩萯葍蕧虙蚥蚨蚹蛗蜅蜉蝜蝮衭褔襆諨跗踾輹邞郙郛鄜鍑韍鮒鰒鳧鳺鴔鵩鶝黻黼凫呋呒妇幞抚绂绋缚肤讣负赋赙辅辐阝驸鲋鳆麸乀乶俌冨哹坿妋娐媍懯捬撨旉栿椨椱炥焤玞甶畉畐癁盙禣秿稪竎筟粰絥袝襥覄詂豧酜釡鉘鉜鍢陚韨颫髴鬴鮄鮲鳬麬麱
ga	嘎噶尬尕旮釓尜钆嘠玍錷魀
gai	丐垓改概溉蓋該賅鈣侅峐戤摡杚瓂祴絯荄豥賌阣陔隑盖该赅钙乢匃匄姟忋晐槩槪漑畡絠葢郂
gan	感坩尷干幹敢杆柑桿榦橄淦甘疳稈竿肝贛趕凎旰泔漧澉灨玕皯盰矸笴筸簳紺詌赶酐骭鰔鳱尴擀秆绀苷赣乹亁仠倝凲尲尶忓攼檊汵粓芉衦贑迀魐鱤鳡
gang	剛岡崗杠槓港綱缸肛釭鋼堈堽棡犅疘矼罡冈刚岗戆筻纲钢冮戅掆焵焹牨罁罓鎠鿍
gao	高告搞杲槁皋稿篙糕縞羔膏誥勂暠槔檺櫜滜睾祰筶郜鋯韟鷎鼛缟藁诰锆镐吿夰峼槀槹橰皐祮禞稁稾羙臯菒藳餻髙鷱
ge	個割各咯哥戈擱格歌疙箇胳膈葛鉻閣閤隔革骼鬲鴿仡佮哿嗝圪塥愅挌搿滆滒犵獦硌肐舸茖虼袼觡輵轕鞈鞷韐騔鮯鴐个搁铬镉阁鸽匌呄嗰彁戓戨敋槅櫊牫牱臵蛒裓諽謌鎶韚鴚鿔
gei	給给
gen	亙根艮跟哏揯茛亘搄
geng	哽埂庚更梗羹耕耿賡堩挭浭綆緪菮郠骾鯁鶊绠赓鲠刯峺暅椩焿畊絚縆羮莄鹒
gong	公工供共功宮廾弓恭拱攻汞肱蚣貢躬鞏龔匑塨幊愩拲栱珙羾觥輁宫巩贡龚匔厷慐杛熕碽糼莻觵躳髸龏
gou	狗佝勾垢夠媾搆枸構溝苟詬購遘鉤雊冓姤岣彀构笱篝簼緱耇芶茩蚼袧覯韝够沟缑觏诟购钩鞲坸撀煹玽耈耉褠訽豿鈎
gu	估僱古呱咕固姑孤故沽牯瞽穀罟股菰蛄蠱詁谷轂辜鈷錮雇顧骨鴣鼓凅唃啒嘏堌夃嫴尳崮愲扢柧梏棝榖榾橭汩泒淈濲瀔牿痼盬稒箍箛縎罛羖臌菇蓇薣蛌觚軱酤鈲鮕鶻毂蛊诂轱钴锢顾鲴鸪鹄鹘傦唂崓皷皼祻笟篐糓脵苽軲逧餶馉鯝鼔
gua	刮卦寡挂掛瓜褂颳剮劀栝絓緺罣罫胍詿趏騧鴰剐诖鸹冎叧啩坬歄煱踻銽颪
guai	乖怪拐摑枴夬柺掴叏恠箉
guan	倌冠官慣棺灌琯盥管罐莞觀貫關館鰥鸛丱悹悺摜毌涫爟瓘痯瘝矔祼筦錧鑵雚鱞鱹关惯掼观贯馆鳏鹳樌泴潅癏礶窤罆舘蒄覌観躀輨遦鏆関闗鳤
guang	光廣洸獷胱逛俇垙撗桄炚烡珖臦臩茪銧咣广犷侊僙姯広欟灮炗炛輄黆
gui	貴劊匱圭晷桂檜櫃歸珪瑰癸皈規詭跪軌閨鬼鮭鱖龜佹劌匭厬垝姽媯嫢宄嶡巂庋庪摫撌昋朹柜槶槻槼湀癐瞡瞶硅祪禬窐筀簂簋茥蛫螝蟡襘觤邽騩刽刿匦妫归桧规诡贵轨闺鲑鳜龟亀嬀帰恑攰攱椝椢櫷猤璝瓌胿膭蓕袿郌陒鞼鬶鬹鱥
gun	棍滾袞輥鯀惃璭睔緄蔉丨滚磙绲衮辊鲧睴蓘謴鮌
guo	國過果堝幗槨猓聒蟈裹郭鍋咼嘓墎崞彉惈慖淉漍濄瘑粿聝膕蔮虢蜾褁輠錁鐹馘呙国埚帼椁蝈过锅啯囯囶囻圀彍綶腘菓鈛餜馃
ha	哈蛤铪奤
hai	還海亥咳嗨孩害氦駭骸咍嗐妎烸胲醢頦餀駴还骇嚡塰酼饚
han	函含喊寒悍憾捍撼旱汗涵漢瀚焊罕翰蚶酣銲韓頷鼾咁哻唅嫨嵅憨扞撖暵梒歛涆焓熯琀甝睅肣菡蔊虷蜬蜭螒譀谽豃邗邯釬鋎鋡閈雗頇顄馯駻鬫魽鶾晗汉韩顸颔丆佄傼兯凾厈圅垾娢屽岾崡晘浛浫澏爳猂皔筨莟蘫蛿闬馠鿰
hang	杭沆航夯斻笐絎苀蚢貥迒頏魧绗颃垳筕
hao	好嗥嚎壕昊毫浩濠皓耗蒿號蠔豪貉郝鄗鎬顥哠嚆悎昦淏滈澔灝皜皞秏籇茠薃薅薧蚝諕譹鰝号灏颢傐儫嘷噑恏晧暤暭曍椃毜獆獋獔皡皥竓聕
he	和何劾合呵喝壑曷核河涸盍盒禾紇翮荷蚵褐訶賀赫郃闔頜鶴佫嗃姀峆敆楁欱毼渮澕煂熆熇盉礉篕籺翯菏螛覈謞鉌鑉鞨魺鶡麧齕龢嗬纥诃贺阂阖颌鹤咊哬啝垎寉惒抲柇焃燺爀狢癋皬盇碋秴穒粭萂蠚袔訸詥貈隺靍靎靏饸鲄鶮鸖鹖龁
hei	嘿黑潶黒
hen	很恨狠痕佷拫鞎詪
heng	亨哼恆桁橫衡啈姮烆珩胻脝蘅鑅恒横堼悙涥鴴鵆鸻
hm	噷
hong	哄宏弘泓洪烘紅薨虹訌轟閎鬨鴻黌仜吰吽嗊嚝妅彋揈汯浤渱渹澋澒灴焢玒竑竤紘翃耾苰葒蕻訇谹谼谾輷鈜鋐鍧闀霐霟鞃魟红荭讧轰闳鸿黉叿呍唝垬娂宖撔晎潂玜硔硡粠紭綋纮翝葓軣鉷銾閧闂
hou	後后候侯厚吼喉堠猴篌逅鱟垕洉瘊翭翵葔郈鄇鍭餱鯸齁糇骺鲎帿犼睺矦豞鮜鲘
hu	乎互呼唬囫壺弧忽惚戶扈斛楛沍湖滬狐琥瑚瓠糊胡葫虎蝴護鬍鵠冱匢嗀嘝垀婟媩嫭嫮寣岵幠怙戽抇搰昈昒曶枑楜槲槴歑汻淴滸滹瀫焀熩猢祜笏綔縠膴芐蔰虍虖螜衚觳謼鄠醐鍙雽韄頀餬魱鰗鶘鶦唿壶户护沪浒烀煳轷鹕鹱乕乥乯俿冴匫喖嘑嚛壷帍弖怘恗戯戸摢泘瓳箶簄粐絗苸萀蔛虝軤錿鍸雐頶鯱鱯鳠鳸鸌
hua	話花划劃化嘩樺滑猾畫華譁姡嫿嬅崋搳摦杹槬澅砉繣蘤螖觟諙釪釫鋘錵鏵驊鷨华哗桦画话铧骅埖夻婲婳撶枠椛畵硴磆糀舙芲蒊蕐誮諣譮黊
huai	坏壞徊懷槐淮踝咶怀櫰瀤蘹蘾褢褱壊懐耲
